item_name,category,condition,reference_value,source,date_checked
Apple iPhone 13 128GB,Smartphone,Used,,eBay,
Apple iPhone 14 128GB,Smartphone,Used,,eBay,
Samsung Galaxy S22 128GB,Smartphone,Used,,eBay,
Apple iPad 10th Gen 64GB,Tablet,Used,,eBay,
Apple Watch Series 8 45mm,Smartwatch,Used,,eBay,
Nintendo Switch OLED,Gaming,Used,,eBay,
Sony PlayStation 5 Disc Edition,Gaming,Used,,eBay,
Xbox Series X 1TB,Gaming,Used,,eBay,
Nintendo Switch Lite,Gaming,Used,,eBay,
Sony WH-1000XM5,Audio,Used,,eBay,
Apple AirPods Max,Audio,Used,,eBay,
Bose QuietComfort 45,Audio,Used,,eBay,
Canon EOS Rebel T7,Camera,Used,,eBay,
GoPro HERO11 Black,Camera,Used,,eBay,
Apple MacBook Air M1 2020 256GB,Computer,Used,,eBay,
Dell XPS 13 9310,Computer,Used,,eBay,
Dyson V8 Absolute,Home Appliance,Used,,eBay,
KitchenAid Artisan 5-Quart Stand Mixer,Kitchen Appliance,Used,,eBay,
"Milwaukee M18 Fuel 1/2"" Impact Wrench",Power Tool,Used,,eBay,
LEGO Star Wars Millennium Falcon 75257,Collectible/Toy,Used,,eBay,
